air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Om Damani,4,,https://scholar.google.com/citations?user=Q8cTLNMAAAAJ&hl=en,"Assistant Professor, IIIT Delhi",,19,40,Mumbai,"computer vision, Image Processing",,,,,,,,,,,
G. Sivakumar,8,,https://scholar.google.com/citations?user=NF8is_sAAAAJ&hl=en,IBM Research AI,"PhD, Indraprastha Institute of Information Technology, Delhi",24,245,Mumbai,"Deep Learning, Human Cognition, Biometrics, Fingerprints, Computer Vision",,,,,,,,,,,
G.M.Nasira,5,,https://scholar.google.com/citations?user=T7GEOxIAAAAJ&hl=en,PhD IIIT-Delhi,,43,84,Tiruppur,", Machine Learning, deep learning, computer vision, Image ProcessingBiometrics",,,,,,,,,,,
Sukhendu Das,11,,https://scholar.google.com/citations?user=bCBPtsYAAAAJ&hl=en,"Executive VP - Academics, INSOFE","PhD, University of Texas at El Paso",86,440,Chennai,High Strain Rate Deformation BehaviorMicrostructural CharacterizationSimulationsData ScienceStatistics,,,,,,,,,,,
Anupama Kowli,9,,https://scholar.google.com/citations?user=VvE0trgAAAAJ&hl=en,Research Scientist - GE Global Research,"PhD, Indraprastha Institute of Information Technology, Delhi",17,240,Mumbai,"Deep Learning, Medical Image Analytics, Compressive Sensing, Collaborative Filtering, Metaheuristics",,,,,,,,,,,
Chetan Arora,7,,https://scholar.google.com/citations?user=vhUg2zIAAAAJ&hl=en,Postdoctoral Researcher at IISc Bangalore,,22,150,New Delhi,"computer vision, , Machine Learning, ",,,,,,,,,,,
Anush Sankaran,6,,https://scholar.google.com/citations?user=HP4M0MkAAAAJ&hl=en,"Researcher at TCS Research, Tata Consultancy Services Limited",,14,93,Bengaluru,", Machine Learning, Data Analyticsdeep learning, Time Series",,,,,,,,,,,
Gaurav Goswami,6,,https://scholar.google.com/citations?user=bqkiZbYAAAAJ&hl=en,Cofounder-CTO at Huew (Infilect) ,"Ex-Researcher at IIT Bombay, IBM Research, India",20,125,New Delhi,"deep learning, , Machine Learning, AlgorithmsWireless NetworkingComputer Networking",,,,,,,,,,,
V.P. Subramanyam Rallabandi,3,,https://scholar.google.com/citations?hl=en&user=6IFATOsAAAAJ&view_op=list_works&sortby=pubdate,Sr. Principal Data Scientist at Flipkart.com,"PhD Carnegie Mellon University, IIT Kharagpur",5,104,Gurugram,"Applied Machine Learning, Active Machine Learning, Data Mining, Summarization",,,,,,,,,,,
Shivajirao Jadhav,6,,https://scholar.google.com/citations?hl=en&user=lLoxr3wAAAAJ&view_op=list_works&sortby=pubdate,"Senior Engineering Manager, Flipkart","Doctorate, Washington State University",7,73,Raigad,Machine learning,,,,,,,,,,,
Randhir Singh,5,,https://scholar.google.com/citations?hl=en&user=diJeNY4AAAAJ&view_op=list_works&sortby=pubdate,Applied Research Scientist at LinkedIn,PhD IIT Bombay,17,50,Ranchi,Information retrieval,,,,,,,,,,,
Sridhar Pappu,12,,https://scholar.google.com/citations?hl=en&user=aEhGxFYAAAAJ&view_op=list_works&sortby=pubdate,"Architect, Myntra",MSc IISc,15,563,Hyderabad,"Image Processing, Computer Vision, Pattern Recognition and Computer Graphics",,,,,,,,,,,
Srinivasa Pai,7,,https://scholar.google.com/citations?user=LgOa2lsAAAAJ&hl=en,"Advisory Software Engineer, Pitney Bowes","Mtech, IIT Guwahati",21,135,Nitte,"Network SecurityData MiningDatabase SecurityWeb services, Machine Learning, ",,,,,,,,,,,
Anuprriya Gogna,4,,https://scholar.google.com/citations?user=PSbBSfoAAAAJ&hl=en,"Assistant Professor, University of Mumbai",,18,65,New Delhi,", Machine Learning, Speech ProcessingImage & Video ProcessingCryptographyNetwork Security",,,,,,,,,,,
